GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
samplefile,samplefile.service,HelloWorldService,2,18,0,0,0,1,0,2,0,2
samplefile,samplefile,Application,26,52,1,1,1,2,3,3,2,3
